"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.68017466842502e-16,1.19559054889164,0.342,0.198,1.80408027643847e-11,"2","ARHGEF26-AS1"
6.90896844861854e-16,0.748650474303164,0.624,0.529,2.19435746896573e-11,"2","ITGA1"
7.33018168146229e-16,0.690695561929509,0.691,0.577,2.32813900384924e-11,"2","TNFRSF19"
8.39247406293205e-16,1.00787427446697,0.508,0.375,2.66553368712785e-11,"2","KIRREL"
8.5921057671019e-16,0.619433282461618,0.647,0.525,2.72893871268923e-11,"2","FLRT3"
1.05757384100984e-15,0.314937597802526,0.859,0.806,3.35896027643135e-11,"2","COMT"
1.14171514289e-15,0.758486062578791,0.66,0.51,3.62620146533292e-11,"2","GBE1"
1.35569722990936e-15,0.589763353831056,0.66,0.53,4.30582997191512e-11,"2","TPP1"
1.56764608774551e-15,0.81374842878894,0.57,0.423,4.97900073928851e-11,"2","FBXL2"
1.65056346201636e-15,1.25499160896474,0.404,0.258,5.24235461171015e-11,"2","MARCH3"
1.67574904776516e-15,0.703650778129531,0.658,0.538,5.32234655060694e-11,"2","ETS1"
1.77967742233788e-15,1.04631084671235,0.325,0.181,5.65243346108735e-11,"2","SRPX2"
1.85359908927346e-15,0.986050094587906,0.578,0.444,5.88721606744145e-11,"2","OLFM1"
2.46513766064026e-15,1.07776978935954,0.279,0.144,7.82952372395954e-11,"2","SHC2"
2.83392295847062e-15,0.279668087051045,0.998,0.957,9.00082270839853e-11,"2","CDH19"
2.8869329168266e-15,0.391936637473937,0.72,0.558,9.16918763713297e-11,"2","TNFRSF12A"
3.33359823929159e-15,0.526255261953602,0.781,0.636,1.0587841367814e-10,"2","RASGEF1C"
3.7927359888985e-15,0.638218892809023,0.67,0.553,1.20461087743405e-10,"2","ANKRD28"
4.40951520736907e-15,0.525510593114974,0.743,0.646,1.40050612501249e-10,"2","ITPK1"
4.99923279704144e-15,0.748261200926606,0.598,0.477,1.58780632866833e-10,"2","ITGA2"
5.05695766775572e-15,0.799283167516833,0.603,0.482,1.60614032485589e-10,"2","LHFP"
6.03111096029791e-15,0.523291814327963,0.778,0.677,1.91554115210022e-10,"2","CPQ"
8.57691879493218e-15,1.03419339597291,0.312,0.173,2.72411517845841e-10,"2","APBA1"
8.99531021806601e-15,0.768117833164509,0.543,0.388,2.85700047835994e-10,"2","STOX2"
9.74751042085184e-15,0.724568423813149,0.598,0.468,3.09590678476675e-10,"2","TSPAN5"
9.78316764378947e-15,0.516926931517589,0.741,0.585,3.10723187534397e-10,"2","CRADD"
1.10043657196923e-14,0.735002812432684,0.577,0.434,3.49509659623147e-10,"2","DTNA"
1.24214766302509e-14,0.960609115321257,0.439,0.305,3.945185192534e-10,"2","UBASH3B"
1.60931049129573e-14,0.493090537092826,0.855,0.731,5.11133105140437e-10,"2","BAI3"
1.72706831597763e-14,0.901736302437976,0.496,0.352,5.48534167837655e-10,"2","ZNF862"
1.97736965515656e-14,0.712268520444347,0.549,0.416,6.28032376174275e-10,"2","PIP4K2A"
2.7543241538762e-14,0.50292788508792,0.672,0.543,8.74800894512618e-10,"2","SEMA3B"
3.59491901922539e-14,0.491229006640672,0.751,0.64,1.14178222969618e-09,"2","LPCAT2"
3.73809981654296e-14,0.712784388471608,0.522,0.392,1.18725788273221e-09,"2","C1orf21"
4.01838354094152e-14,0.68158354078758,0.672,0.554,1.27627879643844e-09,"2","DIP2B"
4.82624434782191e-14,0.56093943929908,0.725,0.622,1.53286346731172e-09,"2","DEGS1"
6.32690781148777e-14,0.762786005453038,0.346,0.201,2.00948919000663e-09,"2","PDPN"
6.70258679892658e-14,0.580175166565887,0.651,0.522,2.12880859320707e-09,"2","BTG3"
6.8846753977796e-14,0.999674860802241,0.459,0.329,2.18664175308878e-09,"2","ZNF395"
7.76621569849962e-14,0.478065208078615,0.63,0.491,2.46662776800046e-09,"2","GPNMB"
7.97460238490064e-14,0.448017011640573,0.626,0.497,2.53281346346829e-09,"2","DKK3"
1.00436303643653e-13,0.625900157703165,0.73,0.658,3.18995744002606e-09,"2","ARHGEF26"
1.11710445796213e-13,0.638119787527237,0.584,0.451,3.54803546893353e-09,"2","PLXDC2"
1.16199198192482e-13,0.790405313807371,0.573,0.446,3.69060273379141e-09,"2","GRB10"
1.37102012683288e-13,0.852071014444253,0.608,0.489,4.35449702483391e-09,"2","FILIP1L"
1.62804920172661e-13,1.03078598026314,0.384,0.257,5.17084706960388e-09,"2","KCTD1"
2.1635662204486e-13,0.445047034217967,0.79,0.65,6.87170267276680e-09,"2","RP11-750B16.1"
2.21796732615735e-13,0.806779168418169,0.455,0.33,7.04448602460836e-09,"2","PTPDC1"
2.25053684409922e-13,0.46413284910071,0.771,0.69,7.14793007054354e-09,"2","LRP1"
3.15889722164181e-13,1.14056416972634,0.388,0.252,1.00329734656566e-08,"2","PDZRN3"
3.35744428375649e-13,0.501955311418019,0.847,0.775,1.0663578789639e-08,"2","FAM20C"
3.47315431966179e-13,0.29816813259914,0.996,0.837,1.10310854346778e-08,"2","RP5-857K21.11"
4.60192746457065e-13,0.494518250201816,0.787,0.76,1.46161818202228e-08,"2","COL18A1"
5.18221506001591e-13,0.340895220044466,0.804,0.698,1.64592332521165e-08,"2","FN1"
5.35569161526007e-13,0.395023281769455,0.822,0.753,1.70102121392275e-08,"2","AKAP9"
5.7251072870281e-13,0.980745465534277,0.446,0.319,1.818351325433e-08,"2","DOCK5"
5.91020323104524e-13,0.650728453515776,0.663,0.535,1.87713964821228e-08,"2","BRE"
6.74169416990874e-13,0.458118387334707,0.693,0.596,2.14122948530471e-08,"2","DLGAP4"
7.57123334401359e-13,0.380541805591691,0.834,0.74,2.40469942239216e-08,"2","LPP"
8.36808245732398e-13,1.04709547728012,0.293,0.166,2.65778666927067e-08,"2","CTB-35F21.1"
1.11036286307175e-12,0.641797901085569,0.619,0.518,3.52662348940219e-08,"2","MAF"
1.11220904942033e-12,0.600672641460871,0.564,0.423,3.5324871618639e-08,"2","CDK14"
1.3445170949492e-12,0.312170091176606,1,0.842,4.27032074526817e-08,"2","AC105402.4"
1.47579430936951e-12,1.09816990882533,0.432,0.31,4.68727030598851e-08,"2","KCTD9"
1.49408646078369e-12,0.515178470452138,0.723,0.657,4.74536800809509e-08,"2","MYO5A"
1.66485022074935e-12,1.00897734931958,0.423,0.295,5.28773078612202e-08,"2","SNHG14"
1.69549012784422e-12,0.783423141603595,0.444,0.308,5.38504619504602e-08,"2","RP11-130F10.1"
1.75655593370809e-12,0.604351852270307,0.605,0.506,5.57899730105027e-08,"2","MED15"
1.84547047761709e-12,0.507316078915969,0.732,0.654,5.86139878395964e-08,"2","NUDT4"
1.8698489120732e-12,0.615274891314293,0.621,0.51,5.93882712963569e-08,"2","SCAPER"
1.9697737462884e-12,0.384463071431112,0.774,0.697,6.25619839558658e-08,"2","SYT11"
1.97043976929107e-12,0.422355693696594,0.81,0.736,6.25831375124537e-08,"2","OXR1"
2.7289451092437e-12,0.416738629125729,0.743,0.651,8.6674025614689e-08,"2","EEA1"
2.81111776032083e-12,0.834355705913226,0.515,0.406,8.92839111855498e-08,"2","F2R"
2.86098785211162e-12,0.405582435132836,0.619,0.497,9.08678351709171e-08,"2","MDK"
3.50219030489971e-12,0.367585741864503,0.871,0.79,1.1123306627392e-07,"2","PROS1"
4.04159839941753e-12,0.42513880836066,0.885,0.789,1.283652067639e-07,"2","COL5A2"
4.99307511448811e-12,0.291807126226529,0.929,0.846,1.58585058711257e-07,"2","RARRES2"
5.41843326576959e-12,0.772847566222473,0.473,0.348,1.72094858954108e-07,"2","SVIL"
5.44691435742026e-12,0.60806864376625,0.605,0.495,1.72999446906025e-07,"2","TSC22D2"
6.49958559474153e-12,0.368726924699263,0.866,0.807,2.06433338074586e-07,"2","H2AFZ"
6.94775699537178e-12,0.788062874735319,0.457,0.34,2.20667709930003e-07,"2","RP11-14N7.2"
