"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.64199707798614e-94,3.56009026995469,0.656,0.713,8.39124691939178e-90,"7","SSR4"
6.65708270678944e-230,3.4848608085437,0.432,0.119,2.11435603850339e-225,"7","XIST"
5.02653866430772e-128,3.30736872691615,0.298,0.092,1.59647894517078e-123,"7","IL16"
1.00079202120498e-135,3.25339695209637,0.291,0.085,3.17861553854914e-131,"7","CD38"
2.08331093143296e-49,3.21895395881102,0.4,0.29,6.61680384932424e-45,"7","CPEB4"
1.14051456561615e-69,3.19145130603995,0.443,0.308,3.62238831185346e-65,"7","SEC11C"
1.75906093854824e-176,3.11661985824929,0.25,0.049,5.58695344692308e-172,"7","SYTL1"
1.37077515616955e-123,3.10904941798348,0.429,0.197,4.35371897351012e-119,"7","ISG20"
2.73124431732444e-78,3.02929411446588,0.331,0.156,8.67470507625414e-74,"7","PDK1"
0,5.90457413422393,0.509,0.011,0,"8","KCNJ6"
0,4.97584669717611,0.76,0.038,0,"8","CHRM3"
0,4.88581421171356,0.761,0.037,0,"8","KIAA1244"
0,4.86185667048811,0.683,0.023,0,"8","DNAH11"
0,4.83404914781869,0.551,0.043,0,"8","GPC5"
0,4.75100452091078,0.533,0.026,0,"8","RPS5P2"
0,4.61468811374418,0.302,0.007,0,"8","CA9"
0,4.57725753960615,0.639,0.041,0,"8","NPFFR2"
0,4.47720327401818,0.772,0.049,0,"8","RP11-486O13.4"
0,4.46522236476108,0.256,0.012,0,"8","MAP3K19"
0,4.42899309955718,0.623,0.039,0,"8","PCSK6"
0,4.38897982841681,0.274,0.01,0,"8","TOX3"
0,4.38609887075122,0.825,0.061,0,"8","ZMAT4"
0,4.33918507234686,0.383,0.013,0,"8","RIMKLA"
0,4.33539228039604,0.396,0.025,0,"8","KCNH1"
0,4.291017928848,0.817,0.078,0,"8","AP000320.7"
0,4.23555190338441,0.843,0.107,0,"8","SDK1"
0,4.187934996214,0.334,0.015,0,"8","TSNAX-DISC1"
0,4.18382330630035,0.793,0.076,0,"8","SCG2"
0,4.16468248254422,0.316,0.015,0,"8","PPAPDC1A"
0,4.12802449285828,0.473,0.024,0,"8","SLC8A3"
0,4.09959186284921,0.336,0.024,0,"8","C15orf26"
0,4.08204113197493,0.566,0.026,0,"8","STC2"
0,4.06537510513048,0.755,0.064,0,"8","UNC5D"
0,4.04130972116921,0.293,0.02,0,"8","SLC35F3"
0,3.98599645971812,0.327,0.016,0,"8","ARMC3"
0,3.9337376267348,0.309,0.017,0,"8","PPARGC1A"
0,3.90775596109278,0.509,0.044,0,"8","LIMS3.1"
0,3.90721129574147,0.317,0.016,0,"8","ST6GAL2"
0,3.89642979312954,0.462,0.025,0,"8","EEF1A2"
0,5.59471883441487,0.535,0.021,0,"9","CCL3L3"
0,5.56506350489161,0.421,0.012,0,"9","CCL4L1"
0,5.5525989334946,0.276,0.01,0,"9","RP11-1080G15.1"
0,5.01103408448192,0.363,0.011,0,"9","IL1A"
0,4.99789468777733,0.416,0.022,0,"9","KB-1507C5.4"
0,4.88804645239724,0.95,0.201,0,"9","CCL3"
0,4.85114111233573,0.626,0.066,0,"9","CXCL3"
0,4.82735993588623,0.332,0.023,0,"9","KMO"
0,4.77826333081068,0.813,0.069,0,"9","IL1B"
0,4.6131247027219,0.884,0.175,0,"9","CCL4"
0,4.39307952704112,0.261,0.017,0,"9","SLC37A2"
0,4.36963738815784,0.933,0.137,0,"9","IL8"
0,4.36032882506216,0.358,0.043,0,"9","CH25H"
0,4.25159766738058,0.748,0.059,0,"9","OLR1"
0,4.16435653849724,0.494,0.072,0,"9","IRAK2"
0,4.12393513952603,0.697,0.115,0,"9","CXCL2"
0,4.03226188386444,0.41,0.022,0,"9","GPR84"
0,4.0268849235547,0.974,0.187,0,"9","CD83"
0,4.02453097250694,0.741,0.074,0,"9","TNF"
0,3.97897328751825,0.276,0.026,0,"9","CCL8"
0,3.97376727152785,0.82,0.082,0,"9","BCL2A1"
0,3.94066059851011,0.644,0.049,0,"9","NLRP3"
2.31879626924734e-226,3.89171888584805,0.377,0.077,7.36472883075649e-222,"9","MIR155HG"
0,3.88928383930518,0.738,0.169,0,"9","OTUD1"
0,3.87106524255745,0.422,0.038,0,"9","LUCAT1"
0,3.85275238598407,0.266,0.02,0,"9","IL10"
0,3.83756812103321,0.691,0.197,0,"9","GBP2"
0,3.78638245552079,0.276,0.02,0,"9","CCL4L2"
0,3.73702945887621,0.704,0.093,0,"9","RBM47"
0,3.71883340322492,0.319,0.028,0,"9","RP11-556E13.1"
0,5.34384018365536,0.357,0.01,0,"10","CTB-178M22.1"
0,4.89448250238249,0.783,0.034,0,"10","SULT1E1"
0,4.84812928133062,0.346,0.012,0,"10","RP11-461O7.1"
0,4.77559969752994,0.755,0.042,0,"10","RP4-678D15.1"
0,4.39603998818207,0.662,0.022,0,"10","COL26A1"
0,4.33094543756536,0.423,0.023,0,"10","CYP1B1-AS1"
0,4.32033417395917,0.408,0.016,0,"10","PCP4"
0,4.24884217252709,0.917,0.115,0,"10","ROBO2"
0,4.21090225508004,0.639,0.043,0,"10","NDST4"
0,4.20940865616512,0.351,0.022,0,"10","KCNB2"
0,4.10843358189213,0.384,0.02,0,"10","CCDC129"
0,4.10614296390012,0.586,0.037,0,"10","ZEB1-AS1"
0,4.07224444580045,0.778,0.079,0,"10","COL25A1"
0,4.07196217441938,0.424,0.03,0,"10","GRIN2B"
0,4.0638370327362,0.949,0.158,0,"10","TENM2"
0,4.06114514302939,0.445,0.022,0,"10","RP11-17A1.3"
0,4.00932849866697,0.746,0.055,0,"10","KCNIP1"
0,4.00334000428662,0.268,0.015,0,"10","LINC01122"
0,3.99074484337168,0.615,0.032,0,"10","AC007796.1"
0,3.93454362432346,0.914,0.168,0,"10","NLGN1"
0,3.92984071522452,0.305,0.011,0,"10","PRMT8"
0,3.91194118100629,0.255,0.019,0,"10","MIR3648"
0,3.89292884415335,0.333,0.012,0,"10","AP000697.6"
0,3.88645850131217,0.534,0.033,0,"10","AC026188.1"
0,3.88265770283975,0.306,0.016,0,"10","RP13-578N3.3"
0,3.84366108299762,0.251,0.012,0,"10","GRIN3B"
0,3.8272853903204,0.384,0.026,0,"10","ATRNL1"
0,3.81892758096456,0.378,0.017,0,"10","VSTM2L"
